record_id,session_id,user_id_hash,query_id,requested_guests,requested_budget,requested_location,requested_accommodation_type,room_id,accom_id,room_price_per_night,room_capacity,room_available,accom_location,company_type,nights_requested,cnn_intent_label,cnn_confidence,shown_rank,timestamp,was_clicked,was_booked,was_selected,relevance_label
REC000001,ntb17v9kkg4055cj8f6woi693cxin3g0,UHASH_F38EEAC399,RR4,1,1000,,hotel,7,4,,,,,,,get_accommodation_recommendation,0.9730173349380493,1,2026-02-25T18:34:39.129519+00:00,0,0,0,
REC000002,ntb17v9kkg4055cj8f6woi693cxin3g0,UHASH_F38EEAC399,RR4,1,1000,,hotel,3,2,,,,,,,get_accommodation_recommendation,0.9730173349380493,2,2026-02-25T18:34:39.129519+00:00,0,0,0,
REC000003,ntb17v9kkg4055cj8f6woi693cxin3g0,UHASH_F38EEAC399,RR4,1,1000,,hotel,4,2,,,,,,,get_accommodation_recommendation,0.9730173349380493,3,2026-02-25T18:34:39.129519+00:00,0,0,0,
REC000004,ntb17v9kkg4055cj8f6woi693cxin3g0,UHASH_F38EEAC399,RR5,1,1000,terminal area,inn,5,3,,,,,,,get_accommodation_recommendation,0.9730173349380493,1,2026-02-25T18:39:31.364820+00:00,1,1,1,relevant
REC000005,ntb17v9kkg4055cj8f6woi693cxin3g0,UHASH_F38EEAC399,RR5,1,1000,terminal area,inn,6,3,,,,,,,get_accommodation_recommendation,0.9730173349380493,2,2026-02-25T18:39:31.364820+00:00,0,0,0,
REC000006,ntb17v9kkg4055cj8f6woi693cxin3g0,UHASH_F38EEAC399,RR5,1,1000,terminal area,inn,1,1,,,,,,,get_accommodation_recommendation,0.9730173349380493,3,2026-02-25T18:39:31.364820+00:00,0,0,0,
REC000007,ntb17v9kkg4055cj8f6woi693cxin3g0,UHASH_F38EEAC399,RR6,1,1000,terminal area,inn,5,3,,,,,,,get_accommodation_recommendation,0.9730173349380493,1,2026-02-25T18:42:19.776059+00:00,1,1,1,relevant
REC000008,ntb17v9kkg4055cj8f6woi693cxin3g0,UHASH_F38EEAC399,RR7,1,1000,terminal area,inn,5,3,,,,,,,get_accommodation_recommendation,0.9730173349380493,1,2026-02-25T18:51:14.823166+00:00,1,1,1,relevant
REC000009,6ythos5k0ubbl8rvba4u8ls25cplgw2r,UHASH_50DD27A90C,RR10,1,1000,the terminal,inn,5,3,,,,,,,get_accommodation_recommendation,0.9779592752456665,1,2026-02-25T19:04:41.178279+00:00,0,0,0,
REC000010,e0zo7803yupgf5vmuiccnvabzsnru97i,UHASH_F38EEAC399,RR18,1,1000,terminal area,inn,5,3,,,,,,,get_accommodation_recommendation,0.9730173349380493,1,2026-02-25T19:07:30.871189+00:00,1,1,1,relevant
REC000011,xoir6588w1n230konefgfwz95k16rbel,UHASH_F38EEAC399,RR21,2,2000,bayawan,hotel,7,4,,,,,,,get_accommodation_recommendation,0.8736761808395386,1,2026-02-25T19:35:21.608054+00:00,1,1,1,relevant
REC000012,xoir6588w1n230konefgfwz95k16rbel,UHASH_F38EEAC399,RR24,1,1000,terminal area,inn,5,3,,,,,,,get_accommodation_recommendation,0.9730173349380493,1,2026-02-25T19:38:30.542457+00:00,1,1,1,relevant
REC000013,xoir6588w1n230konefgfwz95k16rbel,UHASH_F38EEAC399,RR27,1,1000,terminal area,inn,5,3,,,,,,,get_accommodation_recommendation,0.9730173349380493,1,2026-02-25T19:43:48.637340+00:00,1,1,1,relevant
REC000014,xoir6588w1n230konefgfwz95k16rbel,UHASH_F38EEAC399,RR30,1,1000,terminal area,inn,5,3,,,,,,,get_accommodation_recommendation,0.9730173349380493,1,2026-02-25T19:46:57.277805+00:00,1,1,1,relevant
REC000015,vm3hreapcrh3q1fp38t0lskwyoq94oqf,UHASH_F38EEAC399,RR38,2,1500,bayawan,inn,6,3,,,,,,,get_accommodation_recommendation,0.9114791750907898,1,2026-02-25T21:06:07.086977+00:00,0,0,0,
